Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
231.8,0,121.6,174,6.7,0,778.5,100,0
251.4,0,118.3,188.5,5.8,0,757.7,3,0
251.4,0,118.3,188.5,5.8,0,757.7,14,0
251.4,0,118.3,188.5,5.8,0,757.7,28,0
251.4,0,118.3,188.5,5.8,0,757.7,56,0
251.4,0,118.3,188.5,5.8,0,757.7,100,0
251.4,0,118.3,188.5,6.4,0,757.7,3,0
251.4,0,118.3,188.5,6.4,0,757.7,14,0
251.4,0,118.3,188.5,6.4,0,757.7,28,0
251.4,0,118.3,188.5,6.4,0,757.7,56,0
251.4,0,118.3,188.5,6.4,0,757.7,100,0
181.4,0,167,169.6,7.6,0,777.8,3,0
181.4,0,167,169.6,7.6,0,777.8,14,0
181.4,0,167,169.6,7.6,0,777.8,28,0
181.4,0,167,169.6,7.6,0,777.8,56,0
181.4,0,167,169.6,7.6,0,777.8,100,0
182,45.2,122,170.2,8.2,0,780.7,3,0
182,45.2,122,170.2,8.2,0,780.7,14,0
182,45.2,122,170.2,8.2,0,780.7,28,0
182,45.2,122,170.2,8.2,0,780.7,56,0
182,45.2,122,170.2,8.2,0,780.7,100,0
168.9,42.2,124.3,158.3,10.8,0,796.2,3,0
168.9,42.2,124.3,158.3,10.8,0,796.2,14,0
168.9,42.2,124.3,158.3,10.8,0,796.2,28,0
168.9,42.2,124.3,158.3,10.8,0,796.2,56,39.15
168.9,42.2,124.3,158.3,10.8,0,796.2,100,48.15
290.4,0,96.2,168.1,9.4,0,865,3,22.5
290.4,0,96.2,168.1,9.4,0,865,14,34.67
290.4,0,96.2,168.1,9.4,0,865,28,34.74
290.4,0,96.2,168.1,9.4,0,865,56,45.08
290.4,0,96.2,168.1,9.4,0,865,100,0
277.1,0,97.4,160.6,11.8,0,875.6,3,0
277.1,0,97.4,160.6,11.8,0,875.6,14,0
277.1,0,97.4,160.6,11.8,0,875.6,28,0
277.1,0,97.4,160.6,11.8,0,875.6,56,0
277.1,0,97.4,160.6,11.8,0,875.6,100,0
295.7,0,95.6,171.5,8.9,0,859.2,3,0
295.7,0,95.6,171.5,8.9,0,859.2,14,0
295.7,0,95.6,171.5,8.9,0,859.2,28,0
295.7,0,95.6,171.5,8.9,0,859.2,56,0
295.7,0,95.6,171.5,8.9,955.1,859.2,100,0
251.8,0,99.9,146.1,12.4,1006,899.8,3,0
251.8,0,99.9,146.1,12.4,1006,899.8,14,0
251.8,0,99.9,146.1,12.4,1006,899.8,28,0
251.8,0,99.9,146.1,12.4,1006,899.8,56,0
251.8,0,99.9,146.1,12.4,1006,899.8,100,0
249.1,0,98.8,158.1,12.8,987.8,889,3,0
249.1,0,98.8,158.1,12.8,987.8,889,14,0
249.1,0,98.8,158.1,12.8,987.8,889,28,0
249.1,0,98.8,158.1,12.8,987.8,889,56,0
249.1,0,98.8,158.1,12.8,987.8,889,100,0
252.3,0,98.8,146.3,14.2,987.8,889,3,0
252.3,0,98.8,146.3,14.2,987.8,889,14,0
252.3,0,98.8,146.3,14.2,987.8,889,28,0
252.3,0,98.8,146.3,14.2,987.8,889,56,0
252.3,0,98.8,146.3,14.2,987.8,889,100,0
246.8,0,125.1,143.3,12,1086.8,800.9,3,0
246.8,0,125.1,143.3,12,1086.8,800.9,14,0
246.8,0,125.1,143.3,12,1086.8,800.9,28,0
246.8,0,125.1,143.3,12,1086.8,800.9,56,0
246.8,0,125.1,143.3,12,1086.8,0,100,0
275.1,0,121.4,159.5,9.9,1053.6,0,3,0
275.1,0,121.4,159.5,9.9,1053.6,0,14,0
275.1,0,121.4,159.5,9.9,1053.6,0,28,0
275.1,0,121.4,159.5,9.9,1053.6,0,56,0
275.1,0,121.4,159.5,9.9,1053.6,0,100,0
297.2,0,117.5,174.8,9.5,1022.8,0,3,0
297.2,0,117.5,174.8,9.5,1022.8,0,14,0
297.2,0,117.5,174.8,9.5,1022.8,0,28,0
297.2,0,117.5,174.8,9.5,1022.8,0,56,0
297.2,0,117.5,174.8,9.5,1022.8,0,100,0
213.7,0,174.7,154.8,10.2,1053.5,0,3,0
213.7,0,174.7,154.8,10.2,1053.5,0,14,0
213.7,0,174.7,154.8,10.2,1053.5,0,28,0
213.7,0,174.7,154.8,10.2,1053.5,0,56,0
213.7,0,174.7,154.8,10.2,1053.5,0,100,0
213.5,0,174.2,154.6,11.7,1052.3,0,3,0
213.5,0,174.2,154.6,11.7,1052.3,0,14,0
213.5,0,174.2,154.6,11.7,1052.3,0,28,0
213.5,0,174.2,154.6,11.7,1052.3,0,56,0
213.5,0,174.2,154.6,11.7,1052.3,0,100,0
277.2,97.8,24.5,160.7,11.2,1061.7,0,3,0
277.2,97.8,24.5,160.7,11.2,1061.7,0,14,0
277.2,97.8,24.5,160.7,11.2,1061.7,0,28,0
277.2,97.8,24.5,160.7,11.2,1061.7,0,56,0
277.2,97.8,24.5,160.7,11.2,1061.7,0,100,66.95
218.2,54.6,123.8,140.8,11.9,1075.7,0,3,27.42
218.2,54.6,123.8,140.8,11.9,1075.7,0,14,35.96
218.2,54.6,123.8,140.8,11.9,1075.7,0,28,55.51
218.2,54.6,123.8,140.8,11.9,1075.7,0,56,61.99
218.2,54.6,123.8,140.8,11.9,1075.7,0,100,63.53
214.9,53.8,121.9,155.6,9.6,1014.3,0,3,18.02
214.9,53.8,121.9,155.6,9.6,1014.3,0,14,38.6
214.9,53.8,121.9,155.6,9.6,1014.3,0,28,52.2
214.9,53.8,121.9,155.6,9.6,1014.3,0,56,53.96
214.9,53.8,121.9,155.6,9.6,1014.3,0,100,56.63
218.9,0,124.1,158.5,11.3,1078.7,0,3,15.34
218.9,0,124.1,158.5,11.3,1078.7,0,14,26.05
218.9,0,124.1,158.5,11.3,1078.7,0,28,30.22
218.9,0,124.1,158.5,11.3,1078.7,0,56,37.27
218.9,0,124.1,158.5,11.3,1078.7,0,100,46.23
376,0,0,214.6,0,1003.5,0,3,16.28
376,0,0,214.6,0,1003.5,0,14,25.62
376,0,0,214.6,0,1003.5,0,28,31.97
376,0,0,214.6,0,1003.5,0,56,36.3
376,0,0,214.6,0,1003.5,0,100,43.06
500,0,0,140,4,966,0,28,67.57
475,0,59,142,1.9,1098,0,28,57.23
315,137,0,145,5.9,1130,0,28,81.75
505,0,60,195,0,1030,0,28,64.02
451,0,0,165,11.3,1030,0,28,78.8
516,0,0,162,8.2,801,0,28,41.37
520,0,0,170,5.2,855,0,28,60.28
528,0,0,185,6.9,920,0,28,56.83
520,0,0,175,5.2,870,0,28,51.02
385,0,136,158,20,903,768,28,55.55
500.1,0,0,200,3,1124.4,613.2,28,44.13
450.1,50,0,200,3,1124.4,613.2,28,39.38
397,17.2,158,167,20.8,967,633,28,55.65
333,17.5,163,167,17.9,996,652,28,47.28
334,17.6,158,189,15.3,967,633,28,44.33
405,0,0,175,0,1120,695,28,52.3
200,200,0,190,0,1145,660,28,49.25
516,0,0,162,8.3,801,802,28,41.37
145,116,119,184,5.7,833,880,28,29.16
160,128,122,182,6.4,824,879,28,39.4
234,156,0,189,5.9,981,760,28,39.3
250,180,95,159,9.5,860,800,28,67.87
475,0,0,162,9.5,1044,662,28,58.52
285,190,0,163,7.6,1031,685,28,53.58
356,119,0,160,9,1061,657,28,59
275,180,120,162,10.4,830,765,28,76.24
500,0,0,151,9,1033,655,28,69.84
165,0,143.6,163.8,0,1005.6,900.9,3,14.4
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
167,75.4,167,164,7.9,1007.3,770.1,3,15.52
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
190.3,0,125.2,166.6,9.9,1079,798.9,3,12.55
250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61
194.7,0,100.5,170.2,7.5,998,901.8,3,12.18
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98
165,0,143.6,163.8,0,1005.6,900.9,14,16.88
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
167,75.4,167,164,7.9,1007.3,770.1,14,32.9
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
251.4,0,118.3,192.9,5.8,1043.6,754.3,14,20.73
165,0,143.6,163.8,0,1005.6,900.9,28,26.2
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
213.5,0,174.2,159.2,11.7,1043.6,771.9,28,44.64
194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27
165,0,143.6,163.8,0,1005.6,900.9,56,36.56
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
167,75.4,167,164,7.9,1007.3,770.1,56,53.46
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
165,0,143.6,163.8,0,1005.6,900.9,100,37.96
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
167,75.4,167,164,7.9,1007.3,770.1,100,56.81
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
194.7,0,100.5,170.2,7.5,998,901.8,100,44.28
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
446,24,79,162,11.6,967,712,28,57.03
446,24,79,162,11.6,967,712,28,44.42
446,24,79,162,11.6,967,712,28,51.02
446,24,79,162,10.3,967,712,28,53.39
446,24,79,162,11.6,967,712,3,35.36
446,24,79,162,11.6,967,712,3,25.02
446,24,79,162,11.6,967,712,3,23.35
446,24,79,162,11.6,967,712,7,52.01
446,24,79,162,11.6,967,712,7,38.02
446,24,79,162,11.6,967,712,7,39.3
446,24,79,162,11.6,967,712,56,61.07
446,24,79,162,11.6,967,712,56,56.14
446,24,79,162,11.6,967,712,56,55.25
446,24,79,162,10.3,967,712,56,54.77
387,20,94,157,14.3,938,845,28,50.24
387,20,94,157,13.9,938,845,28,46.68
387,20,94,157,11.6,938,845,28,46.68
387,20,94,157,14.3,938,845,3,22.75
387,20,94,157,13.9,938,845,3,25.51
387,20,94,157,11.6,938,845,3,34.77
387,20,94,157,14.3,938,845,7,36.84
387,20,94,157,13.9,938,845,7,45.9
387,20,94,157,11.6,938,845,7,41.67
387,20,94,157,14.3,938,845,56,56.34
387,20,94,157,13.9,938,845,56,47.97
387,20,94,157,11.6,938,845,56,61.46
355,19,97,145,13.1,967,871,28,44.03
355,19,97,145,12.3,967,871,28,55.45
491,26,123,210,3.9,882,699,28,55.55
491,26,123,201,3.9,822,699,28,57.92
491,26,123,210,3.9,882,699,3,25.61
491,26,123,210,3.9,882,699,7,33.49
491,26,123,210,3.9,882,699,56,59.59
491,26,123,201,3.9,822,699,3,29.55
491,26,123,201,3.9,822,699,7,37.92
491,26,123,201,3.9,822,699,56,61.86
424,22,132,178,8.5,822,750,28,62.05
424,22,132,178,8.5,882,750,3,32.01
424,22,132,168,8.9,822,750,28,72.1
424,22,132,178,8.5,822,750,7,39
424,22,132,178,8.5,822,750,56,65.7
424,22,132,168,8.9,822,750,3,32.11
424,22,132,168,8.9,822,750,7,40.29
424,22,132,168,8.9,822,750,56,74.36
202,11,141,206,1.7,942,801,28,21.97
202,11,141,206,1.7,942,801,3,9.85
202,11,141,206,1.7,942,801,7,15.07
202,11,141,206,1.7,942,801,56,23.25
284,15,141,179,5.5,842,801,28,43.73
284,15,141,179,5.5,842,801,3,13.4
284,15,141,179,5.5,842,801,7,24.13
284,15,141,179,5.5,842,801,56,44.52
359,19,141,154,10.9,942,801,28,62.94
359,19,141,154,10.9,942,801,28,59.49
359,19,141,154,10.9,942,801,3,25.12
359,19,141,154,10.9,942,801,3,23.64
359,19,141,154,10.9,942,801,7,35.75
